dataset,algoritmo,k,ARI
c2ds1-2sp,kmeans,2,0.043264
c2ds1-2sp,kmeans,3,0.046768
c2ds1-2sp,kmeans,4,0.052768
c2ds1-2sp,kmeans,5,0.034844
c2ds1-2sp,linkage_single,2,1.0
c2ds1-2sp,linkage_single,3,0.998004
c2ds1-2sp,linkage_single,4,0.996008
c2ds1-2sp,linkage_single,5,0.994016
c2ds1-2sp,linkage_complete,2,0.018496
c2ds1-2sp,linkage_complete,3,0.018496
c2ds1-2sp,linkage_complete,4,0.01952
c2ds1-2sp,linkage_complete,5,0.018496
c2ds3-2g,kmeans,2,0.917764
c2ds3-2g,kmeans,3,0.4636
c2ds3-2g,kmeans,4,0.400564
c2ds3-2g,kmeans,5,0.3584
c2ds3-2g,linkage_single,2,0.0004
c2ds3-2g,linkage_single,3,0.000364
c2ds3-2g,linkage_single,4,0.000308
c2ds3-2g,linkage_single,5,0.000284
c2ds3-2g,linkage_complete,2,0.662596
c2ds3-2g,linkage_complete,3,0.569308
c2ds3-2g,linkage_complete,4,0.467164
c2ds3-2g,linkage_complete,5,0.307444
monkey,kmeans,5,0.4383032782705771
monkey,kmeans,6,0.5245047604890376
monkey,kmeans,7,0.6098291985818913
monkey,kmeans,8,0.5952744588568167
monkey,kmeans,9,0.49579323114841756
monkey,kmeans,10,0.6306546400893954
monkey,kmeans,11,0.6004333298116088
monkey,kmeans,12,0.5833930740521319
